Distance,Feel feedback
,yes
f,no
f,no
f,no
e,no
i,no
g,yes
d,yes
j,yes
f,no
d,yes
d,yes
c,yes
m,no
m,yes
d,no
b,yes
k,yes
c,no
l,yes
d,no
o,no
n,no
l,yes
e,no
m,no
i,no
a,yes
j,yes
n,yes
o,no
n,yes
j,yes
k,yes
h,yes
f,yes
e,yes
m,no
c,yes
h,yes
g,yes
a,yes
a,yes
k,yes
a,yes
o,no
l,no
a,yes
c,yes
b,yes
b,yes
k,yes
h,no
i,no
o,no
m,no
n,no
e,no
l,yes
g,no
j,yes
b,yes
n,no
h,no
j,yes
g,yes
g,yes
e,no
i,no
l,no
b,yes
i,no
c,yes
k,yes
o,yes
